Driver,AvgRaceLapTime,ReadableAvgLap,PitStopCount,QualiPosition,FinalPosition,AirTemp,TrackTemp,Humidity,GP,Year,AvgQualifyingPosition,AvgFinishingPosition,Year_x,Year_y
HAM,70.06574647887324,1:10.065,2.0,3.0,2.0,26.69,52.35,33.25,Styrian Grand Prix,2021.0,2.4285714285714284,4.142857142857143,,
LAT,72.68279411764706,1:12.682,2.0,16.0,17.0,26.69,52.35,33.25,Styrian Grand Prix,2021.0,16.857142857142858,17.285714285714285,,
LEC,70.91081428571428,1:10.910,2.0,7.0,7.0,26.69,52.35,33.25,Styrian Grand Prix,2021.0,4.142857142857143,8.571428571428571,,
MAZ,72.80616176470589,1:12.806,1.0,20.0,18.0,26.69,52.35,33.25,Styrian Grand Prix,2021.0,19.142857142857142,18.0,,
MSC,72.20088405797101,1:12.200,1.0,19.0,16.0,26.69,52.35,33.25,Styrian Grand Prix,2021.0,17.666666666666668,16.714285714285715,,
NOR,70.63258571428571,1:10.632,1.0,4.0,5.0,26.69,52.35,33.25,Styrian Grand Prix,2021.0,7.0,4.714285714285714,,
OCO,71.29941428571428,1:11.299,1.0,17.0,14.0,26.69,52.35,33.25,Styrian Grand Prix,2021.0,10.0,11.571428571428571,,
PER,70.23040845070423,1:10.230,2.0,5.0,4.0,26.69,52.35,33.25,Styrian Grand Prix,2021.0,6.428571428571429,4.714285714285714,,
RAI,71.18868571428571,1:11.188,1.0,18.0,11.0,26.69,52.35,33.25,Styrian Grand Prix,2021.0,15.285714285714286,13.428571428571429,,
RIC,71.27865714285714,1:11.278,1.0,13.0,13.0,26.69,52.35,33.25,Styrian Grand Prix,2021.0,10.0,7.857142857142857,,
RUS,74.0403888888889,1:14.040,2.0,11.0,19.0,26.69,52.35,33.25,Styrian Grand Prix,2021.0,13.857142857142858,15.142857142857142,,
SAI,70.73204285714286,1:10.732,1.0,12.0,6.0,26.69,52.35,33.25,Styrian Grand Prix,2021.0,6.285714285714286,7.428571428571429,,
STR,72.19070588235294,1:12.190,1.0,10.0,8.0,26.69,52.35,33.25,Styrian Grand Prix,2021.0,14.142857142857142,11.428571428571429,,
TSU,71.1539142857143,1:11.153,1.0,8.0,10.0,26.69,52.35,33.25,Styrian Grand Prix,2021.0,15.285714285714286,13.142857142857142,,
VER,69.56232394366198,1:09.562,1.0,1.0,1.0,26.69,52.35,33.25,Styrian Grand Prix,2021.0,2.142857142857143,3.857142857142857,,
VET,71.26014285714285,1:11.260,1.0,14.0,12.0,26.69,52.35,33.25,Styrian Grand Prix,2021.0,12.142857142857142,10.285714285714286,,
ALO,72.07981428571428,1:12.079,1.0,14.0,10.0,20.97,33.18,49.73,Austrian Grand Prix,2021.0,11.375,11.25,,
BOT,71.16219718309858,1:11.162,1.0,5.0,2.0,20.97,33.18,49.73,Austrian Grand Prix,2021.0,4.125,8.125,,
GAS,71.78009859154929,1:11.780,2.0,6.0,9.0,20.97,33.18,49.73,Austrian Grand Prix,2021.0,6.625,10.0,,
GIO,72.45087142857142,1:12.450,2.0,15.0,14.0,20.97,33.18,49.73,Austrian Grand Prix,2021.0,14.125,13.0,,
HAM,71.56330985915493,1:11.563,2.0,4.0,4.0,20.97,33.18,49.73,Austrian Grand Prix,2021.0,2.5,3.875,,
LAT,72.54062857142857,1:12.540,1.0,18.0,16.0,20.97,33.18,49.73,Austrian Grand Prix,2021.0,16.75,17.25,,
LEC,71.77095774647887,1:11.770,1.0,12.0,8.0,20.97,33.18,49.73,Austrian Grand Prix,2021.0,4.5,8.375,,
MAZ,73.79097101449275,1:13.790,2.0,20.0,19.0,20.97,33.18,49.73,Austrian Grand Prix,2021.0,19.25,18.0,,
MSC,73.05082608695652,1:13.050,1.0,19.0,18.0,20.97,33.18,49.73,Austrian Grand Prix,2021.0,17.857142857142858,16.625,,
NOR,71.19101408450705,1:11.191,1.0,2.0,3.0,20.97,33.18,49.73,Austrian Grand Prix,2021.0,6.625,4.75,,
PER,71.58391549295774,1:11.583,1.0,3.0,6.0,20.97,33.18,49.73,Austrian Grand Prix,2021.0,6.25,4.625,,
RAI,72.5634,1:12.563,1.0,16.0,15.0,20.97,33.18,49.73,Austrian Grand Prix,2021.0,15.625,13.125,,
RIC,71.75969014084507,1:11.759,1.0,13.0,7.0,20.97,33.18,49.73,Austrian Grand Prix,2021.0,10.375,8.5,,
RUS,72.16027142857143,1:12.160,1.0,9.0,11.0,20.97,33.18,49.73,Austrian Grand Prix,2021.0,13.5,15.625,,
SAI,71.71390140845071,1:11.713,1.0,11.0,5.0,20.97,33.18,49.73,Austrian Grand Prix,2021.0,7.0,7.25,,
STR,72.33742857142857,1:12.337,2.0,10.0,13.0,20.97,33.18,49.73,Austrian Grand Prix,2021.0,13.625,11.0,,
TSU,72.24231428571427,1:12.242,2.0,7.0,12.0,20.97,33.18,49.73,Austrian Grand Prix,2021.0,14.375,12.75,,
VER,70.90905633802817,1:10.909,2.0,1.0,1.0,20.97,33.18,49.73,Austrian Grand Prix,2021.0,2.0,3.5,,
VET,72.20415942028986,1:12.204,2.0,8.0,17.0,20.97,33.18,49.73,Austrian Grand Prix,2021.0,12.375,10.5,,
ALO,95.56702,1:35.567,2.0,11.0,7.0,29.4,50.93,37.2,British Grand Prix,2021.0,11.666666666666666,11.11111111111111,,
BOT,93.23591836734694,1:33.235,2.0,3.0,3.0,29.4,50.93,37.2,British Grand Prix,2021.0,4.222222222222222,7.444444444444445,,
GAS,95.58684,1:35.586,3.0,12.0,11.0,29.4,50.93,37.2,British Grand Prix,2021.0,6.555555555555555,9.88888888888889,,
GIO,95.8668163265306,1:35.866,2.0,14.0,13.0,29.4,50.93,37.2,British Grand Prix,2021.0,14.22222222222222,13.11111111111111,,
HAM,93.03512244897958,1:33.035,2.0,1.0,1.0,29.4,50.93,37.2,British Grand Prix,2021.0,2.6666666666666665,3.888888888888889,,
LAT,95.7654693877551,1:35.765,2.0,18.0,14.0,29.4,50.93,37.2,British Grand Prix,2021.0,16.88888888888889,17.11111111111111,,
LEC,93.07944897959185,1:33.079,2.0,4.0,2.0,29.4,50.93,37.2,British Grand Prix,2021.0,5.333333333333333,8.333333333333334,,
MAZ,96.79289795918368,1:36.792,2.0,20.0,17.0,29.4,50.93,37.2,British Grand Prix,2021.0,19.333333333333332,18.11111111111111,,
MSC,97.09667346938777,1:37.096,2.0,19.0,18.0,29.4,50.93,37.2,British Grand Prix,2021.0,18.0,16.77777777777778,,
NOR,93.65691836734696,1:33.656,2.0,6.0,4.0,29.4,50.93,37.2,British Grand Prix,2021.0,6.111111111111111,4.555555555555555,,
OCO,95.52948,1:35.529,2.0,13.0,9.0,29.4,50.93,37.2,British Grand Prix,2021.0,11.555555555555555,12.77777777777778,,
PER,95.68369387755102,1:35.683,5.0,5.0,16.0,29.4,50.93,37.2,British Grand Prix,2021.0,5.888888888888889,4.777777777777778,,
RAI,96.12759183673472,1:36.127,2.0,17.0,15.0,29.4,50.93,37.2,British Grand Prix,2021.0,15.666666666666666,13.333333333333334,,
RIC,93.9225306122449,1:33.922,2.0,7.0,5.0,29.4,50.93,37.2,British Grand Prix,2021.0,10.666666666666666,8.333333333333334,,
RUS,95.7386530612245,1:35.738,2.0,8.0,12.0,29.4,50.93,37.2,British Grand Prix,2021.0,13.0,15.11111111111111,,
SAI,94.96722,1:34.967,2.0,9.0,6.0,29.4,50.93,37.2,British Grand Prix,2021.0,7.444444444444445,7.0,,
STR,95.45264,1:35.452,2.0,15.0,8.0,29.4,50.93,37.2,British Grand Prix,2021.0,13.22222222222222,11.22222222222222,,
TSU,95.44432,1:35.444,2.0,16.0,10.0,29.4,50.93,37.2,British Grand Prix,2021.0,13.555555555555555,12.666666666666666,,
VET,95.6275945945946,1:35.627,2.0,10.0,19.0,29.4,50.93,37.2,British Grand Prix,2021.0,11.88888888888889,11.22222222222222,,
ALO,84.37027941176471,1:24.370,3.0,9.0,4.0,27.23,37.82,68.62,Hungarian Grand Prix,2021.0,11.6,10.7,,
GAS,85.14202941176471,1:25.142,4.0,5.0,5.0,27.23,37.82,68.62,Hungarian Grand Prix,2021.0,7.1,10.0,,
GIO,86.39352238805971,1:26.393,6.0,14.0,13.0,27.23,37.82,68.62,Hungarian Grand Prix,2021.0,14.2,13.1,,
HAM,83.97120588235295,1:23.971,4.0,1.0,2.0,27.23,37.82,68.62,Hungarian Grand Prix,2021.0,2.5,3.6,,
LAT,85.35536764705883,1:25.355,3.0,18.0,7.0,27.23,37.82,68.62,Hungarian Grand Prix,2021.0,17.0,16.8,,
MAZ,137.794,2:17.794,2.0,19.0,14.0,27.23,37.82,68.62,Hungarian Grand Prix,2021.0,19.4,18.0,,
MSC,86.0221343283582,1:26.022,3.0,20.0,12.0,27.23,37.82,68.62,Hungarian Grand Prix,2021.0,18.11111111111111,16.9,,
NOR,142.425,2:22.425,1.0,6.0,15.0,27.23,37.82,68.62,Hungarian Grand Prix,2021.0,6.1,4.5,,
OCO,84.15729411764706,1:24.157,3.0,8.0,1.0,27.23,37.82,68.62,Hungarian Grand Prix,2021.0,11.7,12.4,,
RAI,85.67376119402985,1:25.673,4.0,13.0,10.0,27.23,37.82,68.62,Hungarian Grand Prix,2021.0,15.8,13.5,,
RIC,85.99071641791045,1:25.990,3.0,11.0,11.0,27.23,37.82,68.62,Hungarian Grand Prix,2021.0,10.3,8.0,,
RUS,85.31989705882353,1:25.319,3.0,17.0,8.0,27.23,37.82,68.62,Hungarian Grand Prix,2021.0,12.5,14.8,,
SAI,84.40711764705883,1:24.407,3.0,15.0,3.0,27.23,37.82,68.62,Hungarian Grand Prix,2021.0,7.6,6.9,,
TSU,85.31864705882353,1:25.318,3.0,16.0,6.0,27.23,37.82,68.62,Hungarian Grand Prix,2021.0,13.8,12.4,,
VER,85.29720588235294,1:25.297,5.0,3.0,9.0,27.23,37.82,68.62,Hungarian Grand Prix,2021.0,1.9,4.9,,
VET,84.20141176470588,1:24.201,3.0,10.0,20.0,27.23,37.82,68.62,Hungarian Grand Prix,2021.0,11.7,12.0,,
ALO,227.661,3:47.661,1.0,14.0,11.0,13.01,15.26,96.44,Belgian Grand Prix,2021.0,11.363636363636363,10.090909090909092,,
BOT,229.485,3:49.485,1.0,8.0,12.0,13.01,15.26,96.44,Belgian Grand Prix,2021.0,3.909090909090909,7.818181818181818,,
GAS,217.248,3:37.247,1.0,6.0,6.0,13.01,15.26,96.44,Belgian Grand Prix,2021.0,6.909090909090909,9.545454545454543,,
GIO,231.234,3:51.234,1.0,16.0,13.0,13.01,15.26,96.44,Belgian Grand Prix,2021.0,14.181818181818182,13.090909090909092,,
HAM,209.672,3:29.671,1.0,3.0,3.0,13.01,15.26,96.44,Belgian Grand Prix,2021.0,2.363636363636364,3.4545454545454546,,
LAT,222.556,3:42.556,1.0,12.0,9.0,13.01,15.26,96.44,Belgian Grand Prix,2021.0,17.09090909090909,15.909090909090908,,
LEC,219.679,3:39.679,1.0,11.0,8.0,13.01,15.26,96.44,Belgian Grand Prix,2021.0,5.363636363636363,8.636363636363637,,
