Driver,AvgRaceLapTime,PitStopCount,QualiPosition,FinalPosition,AirTemp,TrackTemp,Humidity,Year_x,GP,AvgQualifyingPosition,AvgFinishingPosition,Year_y,Year
LEC,94.54710416666668,1.0,4.0,3.0,29.48,37.82,62.73,2025.0,Saudi Arabian Grand Prix,5.473180130173215,7.152090717450474,2022.6410256410256,
ANT,95.12464583333332,1.0,5.0,6.0,29.48,37.82,62.73,2025.0,Saudi Arabian Grand Prix,,,,
SAI,95.82191666666668,1.0,6.0,8.0,29.48,37.82,62.73,2025.0,Saudi Arabian Grand Prix,6.924382491147197,7.035954437833695,2022.6184210526317,
HAM,95.27227083333332,1.0,7.0,7.0,29.48,37.82,62.73,2025.0,Saudi Arabian Grand Prix,3.2735953246356932,3.849629173894382,2022.6410256410256,
TSU,165.662,,8.0,19.0,29.48,37.82,62.73,2025.0,Saudi Arabian Grand Prix,13.52002590536534,13.031447745626089,2022.6493506493507,
GAS,,,9.0,20.0,29.48,37.82,62.73,2025.0,Saudi Arabian Grand Prix,7.812392307331695,10.842924591513812,2022.6410256410256,
NOR,94.71422916666668,1.0,10.0,4.0,29.48,37.82,62.73,2025.0,Saudi Arabian Grand Prix,7.111271198511861,6.908434361576576,2022.6410256410256,
ALB,95.92666666666666,1.0,11.0,9.0,29.48,37.82,62.73,2025.0,Saudi Arabian Grand Prix,16.0,14.25,2023.1929824561405,
LAW,96.06504166666669,1.0,12.0,12.0,29.48,37.82,62.73,2025.0,Saudi Arabian Grand Prix,,,2023.5,
ALO,96.13520833333332,1.0,13.0,11.0,29.48,37.82,62.73,2025.0,Saudi Arabian Grand Prix,10.558843925308382,10.529275924130372,2022.6410256410256,
HAD,96.00102083333331,1.0,14.0,10.0,29.48,37.82,62.73,2025.0,Saudi Arabian Grand Prix,,,,
BEA,96.305375,1.0,15.0,13.0,29.48,37.82,62.73,2025.0,Saudi Arabian Grand Prix,,,2024.0,
STR,96.8071489361702,1.0,16.0,16.0,29.48,37.82,62.73,2025.0,Saudi Arabian Grand Prix,13.939814544715148,11.939087551470942,2022.6363636363635,
DOO,97.13621276595744,2.0,17.0,17.0,29.48,37.82,62.73,2025.0,Saudi Arabian Grand Prix,,,,
HUL,96.80902127659576,1.0,18.0,15.0,29.48,37.82,62.73,2025.0,Saudi Arabian Grand Prix,17.5,14.5,2023.4583333333333,
OCO,96.80141666666668,1.0,19.0,14.0,29.48,37.82,62.73,2025.0,Saudi Arabian Grand Prix,11.518001233573589,10.996440137213025,2022.6410256410256,
BOR,97.15089361702128,1.0,20.0,18.0,29.48,37.82,62.73,2025.0,Saudi Arabian Grand Prix,,,,
VER,100.89733333333334,6.0,1.0,1.0,27.97,41.02,63.05,,Miami Grand Prix,2.588655308768091,4.3271076997957705,,2025.0
NOR,101.91353333333332,6.0,2.0,2.0,27.97,41.02,63.05,,Miami Grand Prix,7.111271198511861,6.908434361576576,,2025.0
ANT,107.70821428571428,7.0,3.0,3.0,27.97,41.02,63.05,,Miami Grand Prix,,,,2025.0
PIA,99.701,5.0,4.0,4.0,27.97,41.02,63.05,,Miami Grand Prix,,,,2025.0
RUS,102.231,7.0,5.0,5.0,27.97,41.02,63.05,,Miami Grand Prix,11.451304659337108,12.17491860135049,,2025.0
SAI,102.41908333333332,7.0,6.0,6.0,27.97,41.02,63.05,,Miami Grand Prix,6.924382491147197,7.035954437833695,,2025.0
ALB,103.6755,7.0,7.0,7.0,27.97,41.02,63.05,,Miami Grand Prix,16.0,14.25,,2025.0
LEC,101.43953846153846,6.0,8.0,8.0,27.97,41.02,63.05,,Miami Grand Prix,5.473180130173215,7.152090717450474,,2025.0
OCO,99.7826923076923,7.0,9.0,9.0,27.97,41.02,63.05,,Miami Grand Prix,11.518001233573589,10.996440137213025,,2025.0
TSU,98.31666666666666,7.0,10.0,10.0,27.97,41.02,63.05,,Miami Grand Prix,13.52002590536534,13.031447745626089,,2025.0
HAD,103.38871428571429,5.0,11.0,11.0,27.97,41.02,63.05,,Miami Grand Prix,,,,2025.0
HAM,102.12055555555555,5.0,12.0,12.0,27.97,41.02,63.05,,Miami Grand Prix,3.2735953246356932,3.849629173894382,,2025.0
BOR,103.1206,5.0,13.0,13.0,27.97,41.02,63.05,,Miami Grand Prix,,,,2025.0
DOO,100.73855555555556,5.0,14.0,14.0,27.97,41.02,63.05,,Miami Grand Prix,,,,2025.0
LAW,104.24,5.0,15.0,15.0,27.97,41.02,63.05,,Miami Grand Prix,,,,2025.0
HUL,98.0855,3.0,16.0,16.0,27.97,41.02,63.05,,Miami Grand Prix,17.5,14.5,,2025.0
ALO,99.3596,3.0,17.0,17.0,27.97,41.02,63.05,,Miami Grand Prix,10.558843925308382,10.529275924130372,,2025.0
GAS,113.30957142857142,3.0,18.0,18.0,27.97,41.02,63.05,,Miami Grand Prix,7.812392307331695,10.842924591513812,,2025.0
STR,102.12483333333334,3.0,19.0,19.0,27.97,41.02,63.05,,Miami Grand Prix,13.939814544715148,11.939087551470942,,2025.0
BEA,106.25214285714286,2.0,20.0,20.0,27.97,41.02,63.05,,Miami Grand Prix,,,,2025.0
